Level	Code	Message
Warning	1262	Row 1715488 was truncated; it contained more data than there were input columns
Warning	1262	Row 1724948 was truncated; it contained more data than there were input columns
Warning	1262	Row 1725306 was truncated; it contained more data than there were input columns
Warning	1262	Row 1726381 was truncated; it contained more data than there were input columns
Warning	1262	Row 1726723 was truncated; it contained more data than there were input columns
Warning	1262	Row 1726765 was truncated; it contained more data than there were input columns
Warning	1262	Row 1727565 was truncated; it contained more data than there were input columns
Warning	1262	Row 1751185 was truncated; it contained more data than there were input columns
Warning	1262	Row 1752456 was truncated; it contained more data than there were input columns
Warning	1265	Data truncated for column 'synopsis' at row 1787706
Warning	1262	Row 1787706 was truncated; it contained more data than there were input columns
Warning	1262	Row 1800876 was truncated; it contained more data than there were input columns
Warning	1262	Row 1802656 was truncated; it contained more data than there were input columns
Warning	1265	Data truncated for column 'synopsis' at row 1819945
Warning	1262	Row 1819945 was truncated; it contained more data than there were input columns
Warning	1262	Row 1820050 was truncated; it contained more data than there were input columns
Warning	1262	Row 1831497 was truncated; it contained more data than there were input columns
Warning	1262	Row 1831836 was truncated; it contained more data than there were input columns
Warning	1262	Row 1838357 was truncated; it contained more data than there were input columns
Warning	1265	Data truncated for column 'synopsis' at row 1862205
Warning	1262	Row 1862205 was truncated; it contained more data than there were input columns
Warning	1265	Data truncated for column 'synopsis' at row 1862643
Warning	1262	Row 1862643 was truncated; it contained more data than there were input columns
Warning	1265	Data truncated for column 'synopsis' at row 1864022
Warning	1262	Row 1864022 was truncated; it contained more data than there were input columns
Warning	1262	Row 1879248 was truncated; it contained more data than there were input columns
Warning	1262	Row 1879261 was truncated; it contained more data than there were input columns
Warning	1262	Row 1884258 was truncated; it contained more data than there were input columns
Warning	1262	Row 1887224 was truncated; it contained more data than there were input columns
Warning	1262	Row 1888698 was truncated; it contained more data than there were input columns
Warning	1262	Row 1892812 was truncated; it contained more data than there were input columns
Warning	1262	Row 1893490 was truncated; it contained more data than there were input columns
Warning	1262	Row 1896266 was truncated; it contained more data than there were input columns
Warning	1262	Row 1896305 was truncated; it contained more data than there were input columns
Warning	1262	Row 1899104 was truncated; it contained more data than there were input columns
Warning	1262	Row 1917339 was truncated; it contained more data than there were input columns
Warning	1262	Row 1929646 was truncated; it contained more data than there were input columns
Warning	1262	Row 1940858 was truncated; it contained more data than there were input columns
Warning	1262	Row 1941093 was truncated; it contained more data than there were input columns
Warning	1265	Data truncated for column 'synopsis' at row 1962669
Warning	1262	Row 1962669 was truncated; it contained more data than there were input columns
Warning	1262	Row 2009952 was truncated; it contained more data than there were input columns
Warning	1262	Row 2016650 was truncated; it contained more data than there were input columns
Warning	1262	Row 2017791 was truncated; it contained more data than there were input columns
Warning	1262	Row 2023845 was truncated; it contained more data than there were input columns
Warning	1262	Row 2070893 was truncated; it contained more data than there were input columns
Warning	1262	Row 2071370 was truncated; it contained more data than there were input columns
Warning	1265	Data truncated for column 'synopsis' at row 2078750
Warning	1262	Row 2078750 was truncated; it contained more data than there were input columns
Warning	1262	Row 2106708 was truncated; it contained more data than there were input columns
Warning	1262	Row 2116581 was truncated; it contained more data than there were input columns
Warning	1265	Data truncated for column 'synopsis' at row 2135302
Warning	1262	Row 2135302 was truncated; it contained more data than there were input columns
Warning	1262	Row 2143991 was truncated; it contained more data than there were input columns
Warning	1262	Row 2168275 was truncated; it contained more data than there were input columns
Warning	1262	Row 2180729 was truncated; it contained more data than there were input columns
Warning	1262	Row 2180733 was truncated; it contained more data than there were input columns
Warning	1262	Row 2195323 was truncated; it contained more data than there were input columns
Warning	1265	Data truncated for column 'synopsis' at row 2198882
Warning	1262	Row 2198882 was truncated; it contained more data than there were input columns
Warning	1265	Data truncated for column 'synopsis' at row 2199738
Warning	1262	Row 2199738 was truncated; it contained more data than there were input columns
Warning	1265	Data truncated for column 'synopsis' at row 2200376
Warning	1262	Row 2200376 was truncated; it contained more data than there were input columns
Warning	1265	Data truncated for column 'synopsis' at row 2220813
Warning	1262	Row 2220813 was truncated; it contained more data than there were input columns
Warning	1262	Row 2241024 was truncated; it contained more data than there were input columns
Warning	1262	Row 2249235 was truncated; it contained more data than there were input columns
Warning	1265	Data truncated for column 'synopsis' at row 2249844
Warning	1262	Row 2249844 was truncated; it contained more data than there were input columns
Warning	1262	Row 2253259 was truncated; it contained more data than there were input columns
Warning	1262	Row 2253808 was truncated; it contained more data than there were input columns
Warning	1262	Row 2282926 was truncated; it contained more data than there were input columns
Warning	1262	Row 2283120 was truncated; it contained more data than there were input columns
Warning	1265	Data truncated for column 'synopsis' at row 2332517
Warning	1262	Row 2332517 was truncated; it contained more data than there were input columns
Warning	1265	Data truncated for column 'synopsis' at row 2363475
Warning	1262	Row 2363475 was truncated; it contained more data than there were input columns
Warning	1262	Row 2423052 was truncated; it contained more data than there were input columns
Warning	1262	Row 2431157 was truncated; it contained more data than there were input columns
Warning	1262	Row 2496321 was truncated; it contained more data than there were input columns
Warning	1262	Row 2502046 was truncated; it contained more data than there were input columns
Warning	1265	Data truncated for column 'synopsis' at row 2530712
Warning	1262	Row 2530712 was truncated; it contained more data than there were input columns
Warning	1265	Data truncated for column 'synopsis' at row 2576973
Warning	1262	Row 2576973 was truncated; it contained more data than there were input columns
Warning	1262	Row 2638748 was truncated; it contained more data than there were input columns
Warning	1262	Row 2684733 was truncated; it contained more data than there were input columns
Warning	1265	Data truncated for column 'synopsis' at row 2717371
Warning	1262	Row 2717371 was truncated; it contained more data than there were input columns
Warning	1262	Row 2795666 was truncated; it contained more data than there were input columns
Warning	1262	Row 2796965 was truncated; it contained more data than there were input columns
Warning	1262	Row 2864887 was truncated; it contained more data than there were input columns
Warning	1265	Data truncated for column 'synopsis' at row 2885407
Warning	1262	Row 2885407 was truncated; it contained more data than there were input columns
Warning	1265	Data truncated for column 'synopsis' at row 2933183
Warning	1262	Row 2933183 was truncated; it contained more data than there were input columns
Warning	1265	Data truncated for column 'synopsis' at row 2968631
Warning	1262	Row 2968631 was truncated; it contained more data than there were input columns
Warning	1262	Row 2998056 was truncated; it contained more data than there were input columns
